resource_id,incident_id,boats_used,vehicles_used,pumps_used,equipment_used,fuel_consumed
ce92b801-700c-477e-a5d7-da7e2c7462bd,98ba6f45-8769-4244-9228-61ca35e18917,0,1,0,"[""Fire Hoses"", ""Breathing Apparatus""]",15.5
074698ed-2c9d-4ac8-929a-950ff5ad96d4,42774e2a-b299-4498-a7e8-ef56724a8580,1,4,3,"[""Life Jackets"", ""Ropes""]",98.5
0d72f252-d722-460a-b3d8-a8beb379b132,0a496a36-4d6e-49f8-818a-e7b39d4af119,0,1,2,"[""Life Jackets"", ""Ropes""]",26.5
0a78eb38-5543-4645-8572-8cc1c5cbfbd3,930e8135-c7a2-4d5b-b6e5-4ab9a5cd5b32,0,1,0,"[""Safety Kits"", ""Gas Detectors""]",15.5
343bedb4-01d8-4546-9c2b-1a643877b1aa,123de484-d26c-4608-9db5-8156198b5670,0,2,0,"[""Fire Hoses"", ""Breathing Apparatus""]",31.0
532f6165-9a15-46d1-a0ee-d0416dca4d87,81c9537d-de29-4353-a899-41bc2b55fa8f,0,1,0,"[""Safety Kits"", ""Gas Detectors""]",15.5
2da00ec2-8d25-43eb-87d7-1c0794d0b901,4cf6bf0a-cf9e-4e9b-b60d-d1d3ff01e74b,0,1,0,[],15.5
1151be84-f1da-400a-b652-7a6d469e49fa,4e1433fe-afa3-4212-9e19-00d87055c841,0,2,0,"[""Chainsaws""]",31.0
850f3d1f-1480-417d-ba52-0ac65a1fe609,ea0d45dc-39ba-40e2-84e5-3d4660dbbd2c,0,7,0,"[""Chainsaws""]",108.5
ad1edf76-5184-4150-bfa5-3ec065c8252a,18a2a29d-8d88-4e36-8be6-4846aff96df0,0,1,0,[],15.5
f9baf991-4f1b-4266-bf0f-2892e8723f66,07e8bf1c-b6cc-4316-a4da-111c1c976bb7,0,1,0,"[""Fire Hoses"", ""Breathing Apparatus""]",15.5
e86fc851-10ec-454a-a5fe-a9e9276ae140,30c3ca0d-00a6-414a-9920-a930f92d2e6f,0,1,0,"[""Safety Kits"", ""Gas Detectors""]",15.5
b274decc-d27c-4e4f-9c01-bd173dfccc49,8ac59790-7e66-4fea-acb0-55e221b33226,0,2,0,"[""Chainsaws""]",31.0
dcef4906-58b5-47c4-97a7-445743f13e57,408e8aad-2d82-4363-8cfb-4b3580a2390f,0,2,0,"[""Chainsaws""]",31.0
45e371f6-adb2-4a12-9974-b8498d217560,74e7e7f2-3ac9-400d-9f1f-1f18e81452d6,0,6,0,[],93.0
6b41b559-478f-4341-ae29-a7d783f8a20e,77806865-8381-417b-a616-25786f26ba4d,0,2,0,"[""Chainsaws""]",31.0
42efb41b-3944-4a8a-b3fa-99f97c0cb034,838361cf-52ee-4206-af3d-fd6615fb9e71,1,1,2,"[""Life Jackets"", ""Ropes""]",46.5
8c13c9b0-048f-4a11-a96a-964bf957c6aa,3b360a04-229a-44e9-857c-921ea55c7923,0,1,0,[],15.5
d613b2c4-0122-40f9-9c55-88ca9fcbf4cc,b59d98d2-2869-4aaf-9084-2218f5f04d35,0,1,2,"[""Life Jackets"", ""Ropes""]",26.5
ac302ae3-0fba-42fb-b049-121e054564d0,da3fe294-9530-4f31-828e-3b650abde682,0,1,0,"[""Fire Hoses"", ""Breathing Apparatus""]",15.5
92e0199b-8a11-4130-851f-37046ecd7d35,339ac1f0-7155-42a0-b948-181c3b3a80f3,5,3,2,"[""Life Jackets"", ""Ropes""]",157.5
3d28e625-2a34-4448-9737-8691f938b225,862b3b8f-3b4c-4b85-a71f-d0298625569c,0,2,0,"[""Chainsaws""]",31.0
16ffdc71-c671-4861-bbf1-7eb740648238,9a28472c-590a-49e8-935c-23035ff9c1f8,1,1,1,"[""Life Jackets"", ""Ropes""]",41.0
63b2bd6b-80a3-4e2c-a24e-2f79f357861d,045f3d6e-59da-4599-83bd-0b582d96b720,0,1,0,"[""Fire Hoses"", ""Breathing Apparatus""]",15.5
e90864d0-cc63-48f1-a297-98aad7d082f4,ccf55775-5797-4427-8708-634c9e396f59,5,5,6,"[""Life Jackets"", ""Ropes""]",210.5
1d436000-e4ab-470a-9607-e35f2ec6dab0,822ec9a5-5bc3-4db8-a806-e7afcd2a57ef,0,2,0,"[""Chainsaws""]",31.0
97c962a9-f82b-46e3-8854-1c99ab3e44c1,35c8db33-f22c-421b-a351-d9337baad879,0,2,0,"[""Chainsaws""]",31.0
7e5add22-f0de-43d1-a125-4116e0688f70,fbc9f9c3-0b0f-405e-9618-3f2ee5e75218,0,3,0,"[""Fire Hoses"", ""Breathing Apparatus""]",46.5
017623d8-d725-4867-b97a-8d8301dda2ae,922deedb-9a12-4aca-99bb-c3d73c28a117,4,3,4,"[""Life Jackets"", ""Ropes""]",148.5
